Location,Gannoruwa,,,Water Source,,Mahaweli River,,,,Station ID,,MR2
,,,,,,,,,,,,
Date,2020-03-01,2021-03-01,2023-01-01,2023-04-01,2023-06-01,2023-07-01,2024-01-01,2024-03-01,,,,
BOD,5,1,1,1,2,2,1,2,,,,
Chlorine,8,9,9,9,4,7,5,8,,,,
COD,16,7,6,10,6,6,10,2,,,,
Dissolved O2,6.6,7.2,6.6,6,7.2,7.5,7.4,6.1,,,,
Electrical Conductivity,0.15,0.06,0.08,0.11,0.05,0.08,0.11,0.11,,,,
Hardness,63,28,28,44,20,32,32,40,,,,
Nitrate (mg/l),0.06,,0.1,0.6,0.6,0.33,0.91,0.63,,,,
pH,8.8,7.3,8,7.7,8.1,8.4,8.6,6.8,,,,
Phosphate,0.02,,0.35,0.15,0.63,0.44,0.1,0.29,,,,
Temperature (Celsius),24.8,21.6,22.5,27.6,24.6,24.8,24,27,,,,
Turbidity (NTU),49,62,97,145,226,90,23,209,,,,
